,Sentence,Annotation
1001,但是，至少有两个数据库表明可能存在更多的物种。,"但是 c
， x
至少 d
有 v
两个 m
数据库 n
表明 v
可能 v
存在 v
更多 d
的 uj
物种 n
。 x
"
1002,艾文斯之死留下了两个没有回答的问题。,"艾文斯 nr
之 u
死 v
留下 v
了 ul
两个 m
没有 v
回答 v
的 uj
问题 n
。 x
"
1003,有问题的关系总是我们当前生活中的一部分。,"有 v
问题 n
的 uj
关系 n
总是 c
我们 r
当前 t
生活 vn
中 f
的 uj
一部分 m
。 x
"
1004,1963年11月1日的这场政变不会是最后一次政变”。,"1963 m
年 m
11 m
月 m
1 m
日 m
的 uj
这场 mq
政变 n
不会 v
是 v
最后 f
一次 m
政变 n
” x
。 x
"
1005,他还说土耳其不会屈服于在社会中传播分裂的努力。,"他 r
还 d
说 v
土耳其 ns
不会 v
屈服于 nr
在 p
社会 n
中 f
传播 vn
分裂 v
的 uj
努力 ad
。 x
"
1006,自从那时，整个地区分享其首府的命运。,"自从 p
那时 r
， x
整个 b
地区 n
分享 v
其 r
首府 n
的 uj
命运 n
。 x
"
1007,在拉脱维亚和立陶宛，森林兄弟老兵们获得了一小笔养老金。,"在 p
拉脱维亚 ns
和 c
立陶宛 nr
， x
森林 n
兄弟 n
老兵 n
们 k
获得 v
了 ul
一小 d
笔 n
养老金 nr
。 x
"
1008,尽管如此，有三个高加索国家已表示，他们终有一天会考虑申请加入欧盟，特别是格鲁吉亚。,"尽管如此 l
， x
有 v
三个 m
高加索 nr
国家 n
已 d
表示 v
， x
他们 r
终 d
有 v
一天 m
会 v
考虑 v
申请加入 n
欧盟 j
， x
特别 d
是 v
格鲁吉亚 ns
。 x
"
1009,是指害怕真主的惩罚，因而虔诚守戒。,"是 v
指 n
害怕 v
真主 n
的 uj
惩罚 vn
， x
因而 c
虔诚 a
守戒 n
。 x
"
1010,冷战结束时，红十字国际委员会的工作实际上变得更为危险。,"冷战 v
结束 v
时 n
， x
红十字国际委员会 nt
的 uj
工作 vn
实际上 d
变得 v
更为 d
危险 an
。 x
"
1011,墨西哥移民法继续授予菲律宾人的特殊地位。,"墨西哥 ns
移民法 n
继续 v
授予 v
菲律宾人 nr
的 uj
特殊 a
地位 n
。 x
"
1012,粮农组织声称2009年10月的三项活动为首脑会议奠定基础。,"粮农组织 nt
声称 n
2009 m
年 m
10 m
月 m
的 uj
三项 m
活动 vn
为 p
首脑会议 n
奠定 v
基础 n
。 x
"
1013,战略商品，如核技术，仍以双边方式进行贸易，而不是在多边的公开市场上进行贸易。,"战略 n
商品 n
， x
如 v
核技术 n
， x
仍 zg
以 p
双边 n
方式 n
进行 v
贸易 vn
， x
而 c
不是 c
在 p
多边 r
的 uj
公开市场 n
上 f
进行 v
贸易 vn
。 x
"
1014,根据S.Lammers和A.Verhey的观点，大约80％的美国人最终不会死在他们的家中，而是在全控机构中。,"根据 p
S eng
. m
Lammers eng
和 c
A eng
. m
Verhey eng
的 uj
观点 n
， x
大约 d
80 m
％ x
的 uj
美国 ns
人 n
最终 d
不会 v
死 v
在 p
他们 r
的 uj
家中 s
， x
而是 c
在 p
全控 b
机构 n
中 f
。 x
"
1015,该BECCS技术也可以聘用在这些工业过程。,"该 r
BECCS eng
技术 n
也 d
可以 c
聘用 v
在 p
这些 r
工业 n
过程 n
。 x
"
1016,臧洪有一手下名为陈容，于城破之前被臧洪派了出去。,"臧洪 nr
有 v
一 m
手下 s
名为 v
陈容 nr
， x
于 p
城破 n
之前 f
被 p
臧洪 nr
派 v
了 ul
出去 v
。 x
"
1017,对于英国，这是确保一个地中海基地的机会。,"对于 p
英国 ns
， x
这 r
是 v
确保 v
一个 m
地中海 ns
基地 n
的 uj
机会 n
。 x
"
1018,当使用者删除 cookie 时，他们通常同时删除第一方与第三方的 cookie。,"当 t
使用者 n
删除 v
  x
cookie eng
  x
时 n
， x
他们 r
通常 d
同时 c
删除 v
第一 m
方 q
与 p
第三方 m
的 uj
  x
cookie eng
。 x
"
1019,最重要的是，它直接导致了美利坚合众国的成立。,"最 d
重要 a
的 uj
是 v
， x
它 r
直接 ad
导致 v
了 ul
美利坚合众国 ns
的 uj
成立 v
。 x
"
1020,他把钱存在西方，他在西方的所有资金都有可能暴露在资产冻结和没收之下。,"他 r
把 p
钱 n
存在 v
西方 s
， x
他 r
在 p
西方 s
的 uj
所有 b
资金 n
都 d
有 v
可能 v
暴露 v
在 p
资产 n
冻结 v
和 c
没收 v
之下 f
。 x
"
1021,外国在经济援助方面变得更加慷慨，美国在1971年恢复了对海地的援助计划。,"外国 ns
在 p
经济援助 n
方面 n
变得 v
更加 d
慷慨 a
， x
美国 ns
在 p
1971 m
年 m
恢复 v
了 ul
对 p
海地 s
的 uj
援助 vn
计划 n
。 x
"
1022,他以下笔敏捷知名，受诏辄成，故所作颇多。,"他 r
以下 f
笔 n
敏捷 a
知名 v
， x
受 v
诏 ng
辄 dg
成 v
， x
故所 n
作 v
颇 d
多 m
。 x
"
1023,在印度尼西亚和马来西亚，E. longifolia已被广泛商业化。,"在 p
印度尼西亚 ns
和 c
马来西亚 ns
， x
E eng
. m
  x
longifolia eng
已 d
被 p
广泛 a
商业化 n
。 x
"
1024,这将是一个印第安屏障国。,"这 r
将 d
是 v
一个 m
印第安 ns
屏障 n
国 n
。 x
"
1025,在另一次采访中，他提到彼得的声音是最难配的。,"在 p
另 r
一次 m
采访 v
中 f
， x
他 r
提到 v
彼得 nrt
的 uj
声音 n
是 v
最 d
难配 a
的 uj
。 x
"
1026,1997年全国环境政策是坦桑尼亚环境决策的框架。,"1997 m
年 m
全国 n
环境 n
政策 n
是 v
坦桑尼亚 ns
环境 n
决策 n
的 uj
框架 n
。 x
"
1027,SVDK的有效射程被列为“约600米”。,"SVDK eng
的 uj
有效射程 n
被 p
列为 v
“ x
约 d
600 m
米 m
” x
。 x
"
1028,Teddy的双胞胎Noah，则健康出生。,"Teddy eng
的 uj
双胞胎 n
Noah eng
， x
则 d
健康 a
出生 v
。 x
"
1029,公民教育会形塑自由且有责任的公民，而非革命份子。,"公民 n
教育会 n
形塑 n
自由 a
且 c
有 v
责任 n
的 uj
公民 n
， x
而 c
非 h
革命 vn
份子 n
。 x
"
1030,我记得伯特兰·罗素告诉我一个可怕的梦。,"我 r
记得 v
伯特兰 nr
· x
罗素 nr
告诉 v
我 r
一个 m
可怕 c
的 uj
梦 n
。 x
"
1031,这反过来带来了平台依赖性问题。,"这 r
反过来 d
带来 v
了 ul
平台 n
依赖性 n
问题 n
。 x
"
1032,那年夏天，她首次立志成为政治家，而非曾经想要当的医生。,"那年 r
夏天 t
， x
她 r
首次 m
立志 n
成为 v
政治家 n
， x
而 c
非 h
曾经 d
想要 v
当 p
的 uj
医生 n
。 x
"
1033,” Los Angeles Times（洛杉矶时报）支持39号提案。,"” x
  x
Los eng
  x
Angeles eng
  x
Times eng
（ x
洛杉矶 ns
时报 n
） x
支持 v
39 m
号 m
提案 v
。 x
"
1034,她说，药物改善了她的情绪，并增加了她的胃口。,"她 r
说 v
， x
药物 n
改善 v
了 ul
她 r
的 uj
情绪 n
， x
并 c
增加 v
了 ul
她 r
的 uj
胃口 n
。 x
"
1035,10月25日：11个欧盟国家和3个非欧盟国家的首脑在布鲁塞尔召开紧急会议，讨论移民危机。,"10 m
月 m
25 m
日 m
： x
11 m
个 m
欧盟 j
国家 n
和 c
3 m
个 m
非 h
欧盟 j
国家 n
的 uj
首脑 n
在 p
布鲁塞尔 ns
召开 v
紧急会议 l
， x
讨论 v
移民 n
危机 n
。 x
"
1036,每月大约20位新开发者贡献他们的第一行代码。,"每月 r
大约 d
20 m
位新 v
开发者 n
贡献 n
他们 r
的 uj
第一行 m
代码 n
。 x
"
1037,它于4月11日在同一地区再布设了150枚水雷。,"它 r
于 p
4 m
月 m
11 m
日 m
在 p
同一 b
地区 n
再 d
布设 v
了 ul
150 m
枚 m
水雷 n
。 x
"
1038,这对环境是不负责任的-而且是行不通的。,"这 r
对 p
环境 n
是 v
不负责任 l
的 uj
- x
而且 c
是 v
行不通 v
的 uj
。 x
"
1039,"所有意大利冠军 - 1923-2013。 Love, David, 《A Call To Arms》。","所有 b
意大利 ns
冠军 n
  x
- x
  x
1923 m
- x
2013 m
。 x
  x
Love eng
, x
  x
David eng
, x
  x
《 x
A x
  x
Call eng
  x
To eng
  x
Arms eng
》 x
。 x
"
1040,这一数字在2002年增长到10.3%，水污染带来的经济损失（6.1%）开始超过空气污染带来的经济损失。,"这 r
一 m
数字 n
在 p
2002 m
年 m
增长 v
到 v
10.3 m
% x
， x
水污染 b
带来 v
的 uj
经济损失 n
（ x
6.1 m
% x
） x
开始 v
超过 v
空气污染 i
带来 v
的 uj
经济损失 n
。 x
"
1041,这使得系统做好了运营的准备。,"这 r
使得 v
系统 n
做好 v
了 ul
运营 vn
的 uj
准备 v
。 x
"
1042,该系统将会取代ILAW及LAW 80。,"该 r
系统 n
将 d
会 v
取代 v
ILAW eng
及 c
LAW eng
  x
80 m
。 x
"
1043,NTVDM支持DOS 5.0 API。,"NTVDM eng
支持 v
DOS eng
  x
5.0 m
  x
API eng
。 x
"
1044,这可以帮助我们了解为什么我们在这里”。,"这 r
可以 c
帮助 v
我们 r
了解 v
为什么 r
我们 r
在 p
这里 r
” x
。 x
"
1045,可能性为直接参与。,"可能性 n
为 p
直接参与 i
。 x
"
1046,然而，在此期间，它也经历了一定程度的繁荣。,"然而 c
， x
在此期间 l
， x
它 r
也 d
经历 n
了 ul
一定 d
程度 n
的 uj
繁荣 a
。 x
"
1047,在这种情况下，个人的行动只受他们个人的权力和良心所约束。,"在 p
这种 r
情况 n
下 f
， x
个人 n
的 uj
行动 vn
只 d
受 v
他们 r
个人 n
的 uj
权力 n
和 c
良心 a
所 c
约束 vn
。 x
"
1048,这个土地，所以他​​们神圣，我们是他们， 一个母亲的所有儿子，圭亚那自由!,"这个 r
土地 n
， x
所以 c
他 r
​ x
​ x
们 k
神圣 ns
， x
我们 r
是 v
他们 r
， x
  x
一个 m
母亲 n
的 uj
所有 b
儿子 n
， x
圭亚那 ns
自由 a
! x
"
1049,1942年之前，几乎所有的囚犯都是波兰人。,"1942 m
年 m
之前 f
， x
几乎 d
所有 b
的 uj
囚犯 n
都 d
是 v
波兰人 nz
。 x
"
1050,然而，CPD仍保留对该年和2008年辩论的掌控权。,"然而 c
， x
CPD eng
仍 d
保留 v
对 p
该 r
年 m
和 c
2008 m
年 m
辩论 n
的 uj
掌控 j
权 n
。 x
"
1051,在石油危机的时候大部分法国的电力都来自外国石油。,"在 p
石油危机 n
的 uj
时候 n
大部分 m
法国 ns
的 uj
电力 n
都 d
来自 v
外国 ns
石油 n
。 x
"
1052,ISAKMP就是这样一种通用的框架。,"ISAKMP eng
就是 d
这样 r
一种 m
通用 v
的 uj
框架 n
。 x
"
1053,”他告诉她：“我想成为像你那样，戴安娜。,"” x
他 r
告诉 v
她 r
： x
“ x
我 r
想 v
成为 v
像 v
你 r
那样 r
， x
戴安娜 nr
。 x
"
1054,但是在这个版本，第301节的整个第(a)(2)段已因民众抗议而被撤销。,"但是 c
在 p
这个 r
版本 n
， x
第 m
301 m
节 n
的 uj
整个 b
第 m
( x
a x
) x
( x
2 x
) x
段 q
已 d
因 p
民众 n
抗议 nz
而 c
被 p
撤销 v
。 x
"
1055,作为一名工程师，除了诚实的企业，我都不会参加。,"作为 v
一名 m
工程师 n
， x
除了 p
诚实 a
的 uj
企业 n
， x
我 r
都 d
不会 v
参加 v
。 x
"
1056,美国人爱戴赢家而且不能容忍输家。,"美国 ns
人 n
爱戴 nr
赢家 n
而且 c
不能容忍 l
输家 n
。 x
"
1057,在将近五十年后，该公司重新在德国出现。,"在 p
将近 t
五十年 m
后 f
， x
该 r
公司 n
重新 a
在 p
德国 ns
出现 v
。 x
"
1058,我们够聪明，知道我们不能以新加坡式英语书写正式信函。,"我们 r
够 zg
聪明 a
， x
知道 v
我们 r
不能 v
以 p
新加坡 ns
式 k
英语 nz
书写 n
正式 ad
信函 n
。 x
"
1059,对很多人来说，它的运作类似一家非官方的使馆。,"对 p
很多 m
人 n
来说 u
， x
它 r
的 uj
运作 vn
类似 v
一家 m
非官方 b
的 uj
使馆 n
。 x
"
1060,两所学校在1月搬迁。,"两所 m
学校 n
在 p
1 m
月 m
搬迁 v
。 x
"
1061,他期望这能在五年内改变。,"他 r
期望 v
这 r
能 v
在 p
五年 t
内 n
改变 v
。 x
"
1062,并不是所有圣经手稿都来自正统的基督教作家。,"并 c
不是 c
所有 b
圣经 n
手稿 n
都 d
来自 v
正统 n
的 uj
基督教 nz
作家 n
。 x
"
1063,1998年发布了第二个版本，名为“Ability Office 98”。,"1998 m
年 m
发布 v
了 ul
第二个 m
版本 n
， x
名为 v
“ x
Ability eng
  x
Office eng
  x
98 m
” x
。 x
"
1064,1.2％的刚果人受到艾滋病毒/艾滋病的影响。,"1.2 m
％ x
的 uj
刚果人 n
受到 v
艾滋病毒 n
/ x
艾滋病 n
的 uj
影响 vn
。 x
"
1065,在国家层级，这项变革需要修订乌克兰宪法第10条，这是该党希望达到的目标。,"在 p
国家 n
层级 n
， x
这项 r
变革 vn
需要 v
修订 v
乌克兰 nr
宪法 n
第 m
10 m
条 n
， x
这 r
是 v
该党 r
希望 v
达到 v
的 uj
目标 n
。 x
"
1066,R 仅有一个极大右理想。,"R x
  x
仅 d
有 v
一个 m
极大 a
右 f
理想 n
。 x
"
1067,我必须指正他：‘芬兰是欧盟的成员’。,"我 r
必须 d
指正 v
他 r
： x
‘ x
芬兰 ns
是 v
欧盟 j
的 uj
成员 n
’ x
。 x
"
1068,你可以使用任何你喜欢的载具或设备。,"你 r
可以 c
使用 v
任何 r
你 r
喜欢 v
的 uj
载具 n
或 c
设备 vn
。 x
"
1069,第二轮和第三轮在1997年春季在新政府下进行。,"第二轮 m
和 c
第三轮 m
在 p
1997 m
年 m
春季 t
在 p
新政府 nt
下 f
进行 v
。 x
"
1070,版本0.63支持GSSAPI。,"版本 n
0.63 m
支持 v
GSSAPI eng
。 x
"
1071,他们决定采用AL391 Xtrema，并加上更新以符合他们的需求。,"他们 r
决定 v
采用 v
AL391 eng
  x
Xtrema eng
， x
并 c
加上 v
更新 d
以 p
符合 v
他们 r
的 uj
需求 v
。 x
"
1072,"秘鲁政府宫(""Palacio de Gobierno"")也于1926年重建。","秘鲁政府 nt
宫 nr
( x
"" x
Palacio eng
  x
de eng
  x
Gobierno eng
"" x
) x
也 d
于 p
1926 m
年 m
重建 a
。 x
"
1073,联合王国：福利的限制仅需要注册。,"联合王国 nt
： x
福利 ns
的 uj
限制 v
仅 d
需要 v
注册 v
。 x
"
1074,它们将绕着观察者旋转。,"它们 r
将 d
绕 v
着 uz
观察者 n
旋转 v
。 x
"
1075,NTSB认为安全建议是防止未来民用运输事故的主要工具。,"NTSB eng
认为 v
安全 an
建议 n
是 v
防止 v
未来 t
民用 n
运输 vn
事故 n
的 uj
主要 b
工具 n
。 x
"
1076,2008年12月的最后一期包括了他的五篇论文。,"2008 m
年 m
12 m
月 m
的 uj
最后 f
一期 d
包括 v
了 ul
他 r
的 uj
五篇 m
论文 nz
。 x
"
1077,专家必须迎合患者的需求，因为患者通常选择他们想要什么样的词/词组。,"专家 n
必须 d
迎合 v
患者 n
的 uj
需求 v
， x
因为 c
患者 n
通常 d
选择 v
他们 r
想要 v
什么样 r
的 uj
词 n
/ x
词组 n
。 x
"
1078,1983年2月，她同意向当局投降。,"1983 m
年 m
2 m
月 m
， x
她 r
同意 d
向 p
当局 n
投降 v
。 x
"
1079,有时候他保管仓库，或保护工厂。,"有时候 l
他 r
保管 v
仓库 n
， x
或 c
保护 v
工厂 n
。 x
"
1080,克里斯蒂娜女王去接她母亲的船。,"克里斯蒂娜 nrt
女王 n
去 v
接 v
她 r
母亲 n
的 uj
船 n
。 x
"
1081,最后，癌症是他无法战胜的风车。,"最后 f
， x
癌症 n
是 v
他 r
无法 n
战胜 n
的 uj
风车 n
。 x
"
1082,另一方面，菲律宾公民将在他们的下一个离开菲律宾的航班上填写一份单独的出境卡。,"另一方面 c
， x
菲律宾 ns
公民 n
将 d
在 p
他们 r
的 uj
下 v
一个 m
离开 v
菲律宾 ns
的 uj
航班 n
上 f
填写 v
一份 m
单独 d
的 uj
出境 n
卡 n
。 x
"
1083,顶端30位开发者贡献了稍大于16%的代码。,"顶端 f
30 m
位 v
开发者 n
贡献 n
了 ul
稍 d
大于 d
16 m
% x
的 uj
代码 n
。 x
"
1084,一个例子： 我要么选择汤要么选择沙拉。,"一个 m
例子 n
： x
  x
我 r
要么 c
选择 v
汤 n
要么 c
选择 v
沙拉 nr
。 x
"
1085,Bill不能直接连接到Jane的服务器，因为在他的网络上设置了防火墙。,"Bill eng
不能 v
直接 ad
连接 v
到 v
Jane eng
的 uj
服务器 n
， x
因为 c
在 p
他 r
的 uj
网络 n
上 f
设置 vn
了 ul
防火墙 n
。 x
"
1086,这也让欺诈不太可能。,"这 r
也 d
让 v
欺诈 vn
不太可能 i
。 x
"
1087,"拿破仑包含四个战役，其中两个跟随拿破仑的早期军事生涯。 彼得大帝 俄罗斯帝国 俄语 Vernadsky, pg. 230 Vernadsky, pg. 231 Raeff, Reformer or Revolutionary?","拿破仑 n
包含 v
四个 m
战役 n
， x
其中 r
两个 m
跟随 v
拿破仑 n
的 uj
早期 t
军事 n
生涯 n
。 x
  x
彼得大帝 nrt
  x
俄罗斯 ns
帝国 n
  x
俄语 nz
  x
Vernadsky eng
, x
  x
pg eng
. m
  x
230 m
  x
Vernadsky eng
, x
  x
pg eng
. m
  x
231 m
  x
Raeff eng
, x
  x
Reformer eng
  x
or eng
  x
Revolutionary eng
? x
"
1088,2015年3月，哈萨克斯坦农业部长表示，哈萨克斯坦过去5年的农业产量几乎翻了一番。,"2015 m
年 m
3 m
月 m
， x
哈萨克斯坦 nrt
农业部长 n
表示 v
， x
哈萨克斯坦 nrt
过去 t
5 m
年 m
的 uj
农业 n
产量 n
几乎 d
翻了一番 i
。 x
"
1089,最终，另一个候选人拒绝接受这个职位，泰迪收到了一份全职合同。,"最终 d
， x
另 r
一个 m
候选人 n
拒绝接受 l
这个 r
职位 n
， x
泰迪 nz
收到 v
了 ul
一份 m
全职 n
合同 a
。 x
"
1090,第二天下午3:00鲍勃·德纳尔和他的雇佣兵就投降了。,"第二天 m
下午 t
3 x
: x
00 m
鲍勃 nr
· x
德纳 ns
尔 nr
和 c
他 r
的 uj
雇佣兵 n
就 d
投降 v
了 ul
。 x
"
1091,从那里，它已蔓延到世界其他许多地方，拿起更多的名字。,"从 p
那里 r
， x
它 r
已 d
蔓延到 l
世界 n
其他 r
许多 m
地方 n
， x
拿起 v
更 d
多 m
的 uj
名字 n
。 x
"
1092,"大多数国家和地方政府工作人员的最终被纳入社会保障系统下的""第218节协议""的。","大多数 m
国家 n
和 c
地方 n
政府 n
工作人员 n
的 uj
最终 d
被 p
纳入 v
社会保障 n
系统 n
下 f
的 uj
"" x
第 m
218 m
节 t
协议 n
"" x
的 uj
。 x
"
1093,所以完整的清真言是“我作证，万物非主唯有真主。,"所以 c
完整 a
的 uj
清 a
真言 n
是 v
“ x
我 r
作证 v
， x
万物 n
非 h
主 b
唯有 b
真主 n
。 x
"
1094,2006年，他说：“以色列的敌人是我们的敌人，这是一场我们大家站在一起的战斗，或者我们都会分裂。,"2006 m
年 m
， x
他 r
说 v
： x
“ x
以色列 ns
的 uj
敌人 n
是 v
我们 r
的 uj
敌人 n
， x
这 r
是 v
一场 m
我们 r
大家 n
站 v
在 p
一起 m
的 uj
战斗 vn
， x
或者 c
我们 r
都 d
会 v
分裂 v
。 x
"
1095,2012年5月，哈蒙德说，银行并不应该对2008年金融危机负责，因为“他们必须借钱给一些人”。,"2012 m
年 m
5 m
月 m
， x
哈蒙德 nr
说 v
， x
银行 n
并 c
不 d
应该 v
对 p
2008 m
年 m
金融危机 n
负责 v
， x
因为 c
“ x
他们 r
必须 d
借钱 v
给 p
一些 m
人 n
” x
。 x
"
1096,他们将其命名为“Code Red”，因为Code Red Mountain Dew是他们当时正在喝的饮料。,"他们 r
将 d
其 r
命名 n
为 p
“ x
Code eng
  x
Red eng
” x
， x
因为 c
Code eng
  x
Red eng
  x
Mountain eng
  x
Dew eng
是 v
他们 r
当时 t
正在 t
喝 vg
的 uj
饮料 n
。 x
"
1097,他指出，这个村庄并不典型。,"他 r
指出 v
， x
这个 r
村庄 n
并 c
不 d
典型 n
。 x
"
1098,除此之外，该大学也举办了2008年唯一的副总统辩论。,"除此之外 c
， x
该 r
大学 n
也 d
举办 v
了 ul
2008 m
年 m
唯一 b
的 uj
副 b
总统 n
辩论 n
。 x
"
1099,IPX 不打算替代因特网或与其竞争，但是确实为服务提供商提供了一个替代选项。,"IPX eng
  x
不 d
打算 v
替代 n
因特网 n
或 c
与其 c
竞争 vn
， x
但是 c
确实 ad
为 p
服务提供商 n
提供 v
了 ul
一个 m
替代 n
选项 n
。 x
"
